Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",111.497218,-73.426555,-100.000000,bottom
"C2","100nF","C_0402_1005Metric",101.059006,-65.339114,-100.000000,bottom
"C3","100nF","C_0402_1005Metric",109.055023,-75.575115,-10.000000,bottom
"C4","100nF","C_0402_1005Metric",104.802623,-74.825301,-10.000000,bottom
"C5","100nF","C_0402_1005Metric",110.171576,-63.391911,170.000000,bottom
"C6","1uF","C_0402_1005Metric",112.570478,-54.014006,-10.000000,bottom
"C7","1uF","C_0402_1005Metric",111.104414,-59.564248,-10.000000,bottom
"C8","100nF","C_0402_1005Metric",127.756394,-76.293488,-100.000000,bottom
"D1","D_Small","D_SOD-123",36.091025,-36.111763,80.000000,bottom
"D2","D_Small","D_SOD-123",55.540779,-35.511305,80.000000,bottom
"D3","D_Small","D_SOD-123",74.852699,-35.692538,80.000000,bottom
"D4","D_Small","D_SOD-123",94.164619,-35.873771,80.000000,bottom
"D5","D_Small","D_SOD-123",110.810492,-42.032867,80.000000,bottom
"D6","D_Small","D_SOD-123",113.937256,-42.584200,80.000000,bottom
"D7","D_Small","D_SOD-123",32.783026,-54.872350,80.000000,bottom
"D8","D_Small","D_SOD-123",52.232780,-54.271893,80.000000,bottom
"D9","D_Small","D_SOD-123",71.544701,-54.453126,80.000000,bottom
"D10","D_Small","D_SOD-123",89.293239,-54.358692,80.000000,bottom
"D11","D_Small","D_SOD-123",92.420004,-54.910024,80.000000,bottom
"D12","D_Small","D_SOD-123",125.711749,-67.228217,80.000000,bottom
"D13","D_Small","D_SOD-123",29.475027,-73.632938,80.000000,bottom
"D14","D_Small","D_SOD-123",48.924781,-73.032480,80.000000,bottom
"D15","D_Small","D_SOD-123",68.236704,-73.213714,80.000000,bottom
"D16","D_Small","D_SOD-123",85.985240,-73.119280,80.000000,bottom
"D17","D_Small","D_SOD-123",89.112007,-73.670613,80.000000,bottom
"D18","D_Small","D_SOD-123",122.403752,-85.988805,80.000000,bottom
"D19","D_Small","D_SOD-123",164.177456,-45.435299,100.000000,bottom
"D20","D_Small","D_SOD-123",182.386713,-39.000536,100.000000,bottom
"D21","D_Small","D_SOD-123",200.595967,-32.565773,100.000000,bottom
"D22","D_Small","D_SOD-123",219.918739,-32.446091,100.000000,bottom
"D23","D_Small","D_SOD-123",237.656427,-32.478974,100.000000,bottom
"D24","D_Small","D_SOD-123",240.783190,-31.927641,100.000000,bottom
"D25","D_Small","D_SOD-123",167.485456,-64.195886,100.000000,bottom
"D26","D_Small","D_SOD-123",185.694711,-57.761123,100.000000,bottom
"D27","D_Small","D_SOD-123",203.903965,-51.326361,100.000000,bottom
"D28","D_Small","D_SOD-123",223.215884,-51.145128,100.000000,bottom
"D29","D_Small","D_SOD-123",240.964424,-51.239561,100.000000,bottom
"D30","D_Small","D_SOD-123",244.091187,-50.688229,100.000000,bottom
"D31","D_Small","D_SOD-123",170.793454,-82.956474,100.000000,bottom
"D32","D_Small","D_SOD-123",189.002708,-76.521711,100.000000,bottom
"D33","D_Small","D_SOD-123",207.211961,-70.086949,100.000000,bottom
"D34","D_Small","D_SOD-123",226.523884,-69.905716,100.000000,bottom
"D35","D_Small","D_SOD-123",244.272421,-70.000149,100.000000,bottom
"D36","D_Small","D_SOD-123",247.399186,-69.448816,100.000000,bottom
"D37","D_Small","D_SOD-123",152.627599,-107.921465,100.000000,bottom
"D38","D_Small","D_SOD-123",190.930466,-101.167638,100.000000,bottom
"D39","D_Small","D_SOD-123",194.057228,-100.616304,100.000000,bottom
"D40","D_Small","D_SOD-123",81.942772,-100.616304,80.000000,bottom
"D41","D_Small","D_SOD-123",85.069532,-101.167637,80.000000,bottom
"D42","D_Small","D_SOD-123",123.372400,-107.921464,80.000000,bottom
"J1","Conn_01x04_MountingPin","MOLEX_781710004_MountingReliefs",119.263517,-51.844985,180.000000,bottom
"J2","Conn_01x16","XFCN_F1004-H-16-20G-R_P1.0mm_MountingReliefs",147.341441,-92.889984,-90.000000,bottom
"J3","Conn_01x16","XFCN_F1004-H-16-20G-R_P1.0mm_MountingReliefs",128.643018,-92.889985,90.000000,bottom
"R1","10k","R_0402_1005Metric",127.931600,-66.523483,80.000000,bottom
"SW1","BOOT","SW_SPST_SKQG_WithoutStem",131.883705,-62.472310,90.000000,bottom
"SW2","RESET","SW_SPST_SKQG_WithoutStem",131.883705,-72.124309,-90.000000,bottom
"U1","XC6206PxxxMR","SOT-23-3",111.612596,-56.682206,80.000000,bottom
"U2","STM32F072C8Tx","LQFP-48_7x7mm_P0.5mm",106.405570,-68.659986,80.000000,bottom
