Ref,Val,Package,PosX,PosY,Rot,Side
"H1","MountingHole","MouseBite_IPC7351",139.500000,-111.750000,90.000000,top
"H2","MountingHole","MouseBite_IPC7351",136.500000,-111.500000,90.000000,top
"H3","MountingHole","MouseBite_IPC7351",139.500000,-49.500000,90.000000,top
"H4","MountingHole","MouseBite_IPC7351",136.500000,-49.500000,90.000000,top
"H5","MountingHole","MouseBite_IPC7351",139.500000,-78.500000,90.000000,top
"H6","MountingHole","MouseBite_IPC7351",136.500000,-78.500000,90.000000,top
"SW3","EC11Ex","ALPS_EC11E",73.527311,-93.490467,0.000000,top
"SW4","EC11Ex","ALPS_EC11E",202.472689,-93.490467,0.000000,top
"SW5","SW_Push","MXOnly-1U-NoLED",26.710730,-34.457764,-10.000000,top
"SW6","SW_Push","MXOnly-1U-NoLED",46.160487,-33.857305,-10.000000,top
"SW7","SW_Push","MXOnly-1U-NoLED",65.472405,-34.038539,-10.000000,top
"SW8","SW_Push","MXOnly-1U-NoLED",84.784324,-34.219772,-10.000000,top
"SW9","SW_Push","MXOnly-1U-NoLED",102.993583,-40.654535,-10.000000,top
"SW10","SW_Push","MXOnly-1U-NoLED",121.202838,-47.089298,-10.000000,top
"SW11","SW_Push","MXOnly-1U-NoLED",23.402732,-53.218352,-10.000000,top
"SW12","SW_Push","MXOnly-1U-NoLED",42.852487,-52.617892,-10.000000,top
"SW13","SW_Push","MXOnly-1U-NoLED",62.164410,-52.799127,-10.000000,top
"SW14","SW_Push","MXOnly-1U-NoLED",81.476328,-52.980360,-10.000000,top
"SW15","SW_Push","MXOnly-1U-NoLED",99.685581,-59.415122,-10.000000,top
"SW16","SW_Push","MXOnly-1U-NoLED",117.894840,-65.849885,-10.000000,top
"SW17","SW_Push","MXOnly-1U-NoLED",20.094735,-71.978938,-10.000000,top
"SW18","SW_Push","MXOnly-1U-NoLED",39.544487,-71.378481,-10.000000,top
"SW19","SW_Push","MXOnly-1U-NoLED",58.856409,-71.559713,-10.000000,top
"SW20","SW_Push","MXOnly-1U-NoLED",78.168332,-71.740948,-10.000000,top
"SW21","SW_Push","MXOnly-1U-NoLED",96.377585,-78.175710,-10.000000,top
"SW22","SW_Push","MXOnly-1U-NoLED",114.586838,-84.610471,-10.000000,top
"SW23","SW_Push","MXOnly-1U-NoLED",154.797162,-47.089297,10.000000,top
"SW24","SW_Push","MXOnly-1U-NoLED",173.006417,-40.654535,10.000000,top
"SW25","SW_Push","MXOnly-1U-NoLED",191.215674,-34.219772,10.000000,top
"SW26","SW_Push","MXOnly-1U-NoLED",210.527594,-34.038539,10.000000,top
"SW27","SW_Push","MXOnly-1U-NoLED",229.839513,-33.857306,10.000000,top
"SW28","SW_Push","MXOnly-1U-NoLED",249.289269,-34.457764,10.000000,top
"SW29","SW_Push","MXOnly-1U-NoLED",158.105160,-65.849885,10.000000,top
"SW30","SW_Push","MXOnly-1U-NoLED",176.314417,-59.415122,10.000000,top
"SW31","SW_Push","MXOnly-1U-NoLED",194.523671,-52.980360,10.000000,top
"SW32","SW_Push","MXOnly-1U-NoLED",213.835590,-52.799127,10.000000,top
"SW33","SW_Push","MXOnly-1U-NoLED",233.147512,-52.617892,10.000000,top
"SW34","SW_Push","MXOnly-1U-NoLED",252.597267,-53.218352,10.000000,top
"SW35","SW_Push","MXOnly-1U-NoLED",161.413160,-84.610472,10.000000,top
"SW36","SW_Push","MXOnly-1U-NoLED",179.622414,-78.175710,10.000000,top
"SW37","SW_Push","MXOnly-1U-NoLED",197.831667,-71.740948,10.000000,top
"SW38","SW_Push","MXOnly-1U-NoLED",217.143590,-71.559714,10.000000,top
"SW39","SW_Push","MXOnly-1U-NoLED",236.455511,-71.378481,10.000000,top
"SW40","SW_Push","MXOnly-1U-NoLED",255.905264,-71.978939,10.000000,top
"SW41","SW_Push","MXOnly-1.25U-NoLED",161.226201,-106.405300,10.000000,top
"SW42","SW_Push","MXOnly-1.25U-NoLED",114.773798,-106.405300,-10.000000,top
"SW43","SW_Push","MXOnly-2.25U-ReversedStabilizers-NoLED",170.606495,-104.751301,10.000000,top
"SW44","SW_Push","MXOnly-2.25U-ReversedStabilizers-NoLED",105.393504,-104.751301,-10.000000,top
"SW45","SW_Push","MXOnly-1U-NoLED",182.331863,-102.683802,10.000000,top
"SW46","SW_Push","MXOnly-1U-NoLED",202.472689,-93.490467,0.000000,top
"SW47","SW_Push","MXOnly-1U-NoLED",73.527311,-93.490467,0.000000,top
"SW48","SW_Push","MXOnly-1U-NoLED",93.668135,-102.683802,-10.000000,top
