"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"H6,H5,H4,H3,H2,H1";"MouseBite_IPC7351";6;"MountingHole";;;
2;"SW5,SW28,SW18,SW6,SW17,SW26,SW40,SW23,SW12,SW19,SW30,SW27,SW32,SW25,SW24,SW9,SW29,SW48,SW13,SW31,SW46,SW39,SW10,SW47,SW20,SW11,SW38,SW7,SW34,SW21,SW37,SW14,SW33,SW36,SW16,SW45,SW15,SW35,SW22,SW8";"MXOnly-1U-NoLED";40;"SW_Push";;;
3;"SW3,SW4";"ALPS_EC11E";2;"EC11Ex";;;
4;"SW44,SW43";"MXOnly-2.25U-ReversedStabilizers-NoLED";2;"SW_Push";;;
5;"SW42,SW41";"MXOnly-1.25U-NoLED";2;"SW_Push";;;
6;"J2,J3";"XFCN_F1004-H-16-20G-R_P1.0mm_MountingReliefs";2;"Conn_01x16";;;
7;"D40,D27,D15,D22,D3,D28,D2,D11,D29,D31,D38,D35,D4,D39,D18,D20,D16,D8,D24,D14,D21,D23,D5,D37,D13,D1,D10,D41,D26,D33,D25,D6,D9,D42,D34,D19,D36,D7,D30,D17,D12,D32";"D_SOD-123";42;"D_Small";;;
8;"SW1";"SW_SPST_SKQG_WithoutStem";1;"BOOT";;;
9;"C7,C6";"C_0402_1005Metric";2;"1uF";;;
10;"C2,C5,C3,C8,C1,C4";"C_0402_1005Metric";6;"100nF";;;
11;"J1";"MOLEX_781710004_MountingReliefs";1;"Conn_01x04_MountingPin";;;
12;"SW2";"SW_SPST_SKQG_WithoutStem";1;"RESET";;;
13;"R1";"R_0402_1005Metric";1;"10k";;;
14;"U1";"SOT-23-3";1;"XC6206PxxxMR";;;
15;"U2";"LQFP-48_7x7mm_P0.5mm";1;"STM32F072C8Tx";;;
