Designator	Value	Footprint	LCSC Part #
J2 J3	Conn_01x16	XFCN_F1004-H-16-20G-R_P1.0mm_MountingReliefs	C668118
D40 D27 D15 D22 D3 D28 D2 D11 D29 D31 D38 D35 D4 D39 D18 D20 D16 D8 D24 D14 D21 D23 D5 D37 D13 D1 D10 D41 D26 D33 D25 D6 D9 D42 D34 D19 D36 D7 D30 D17 D12 D32	1N4148W	D_SOD-123	C81598
SW1	BOOT	SW_SPST_SKQG_WithoutStem	C116647
SW2	RESET	SW_SPST_SKQG_WithoutStem	C116647
C7 C6	1uF	C_0402_1005Metric	C107372
C2 C5 C3 C8 C1 C4	100nF	C_0402_1005Metric	C60474
J1	Conn_01x04_MountingPin	MOLEX_781710004_MountingReliefs	C528030
R1	10k	R_0402_1005Metric	C25744
U1	XC6206PxxxMR	SOT-23-3	C351446
U2	STM32F072C8Tx	LQFP-48_7x7mm_P0.5mm	C80488
