Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,111.497218,-73.426555,-100,bottom
C2,100nF,C_0402_1005Metric,101.059006,-65.339114,-100,bottom
C3,100nF,C_0402_1005Metric,109.055023,-75.575115,-10,bottom
C4,100nF,C_0402_1005Metric,104.802623,-74.825301,-10,bottom
C5,100nF,C_0402_1005Metric,110.171576,-63.391911,170,bottom
C6,1uF,C_0402_1005Metric,112.570478,-54.014006,-10,bottom
C7,1uF,C_0402_1005Metric,111.104414,-59.564248,-10,bottom
C8,100nF,C_0402_1005Metric,127.756394,-76.293488,-100,bottom
D1,1N4148W,D_SOD-123,36.091025,-36.111763,80,bottom
D2,1N4148W,D_SOD-123,55.540779,-35.511305,80,bottom
D3,1N4148W,D_SOD-123,74.852699,-35.692538,80,bottom
D4,1N4148W,D_SOD-123,94.164619,-35.873771,80,bottom
D5,1N4148W,D_SOD-123,110.810492,-42.032867,80,bottom
D6,1N4148W,D_SOD-123,113.937256,-42.5842,80,bottom
D7,1N4148W,D_SOD-123,32.783026,-54.87235,80,bottom
D8,1N4148W,D_SOD-123,52.23278,-54.271893,80,bottom
D9,1N4148W,D_SOD-123,71.544701,-54.453126,80,bottom
D10,1N4148W,D_SOD-123,89.293239,-54.358692,80,bottom
D11,1N4148W,D_SOD-123,92.420004,-54.910024,80,bottom
D12,1N4148W,D_SOD-123,125.711749,-67.228217,80,bottom
D13,1N4148W,D_SOD-123,29.475027,-73.632938,80,bottom
D14,1N4148W,D_SOD-123,48.924781,-73.03248,80,bottom
D15,1N4148W,D_SOD-123,68.236704,-73.213714,80,bottom
D16,1N4148W,D_SOD-123,85.98524,-73.11928,80,bottom
D17,1N4148W,D_SOD-123,89.112007,-73.670613,80,bottom
D18,1N4148W,D_SOD-123,122.403752,-85.988805,80,bottom
D19,1N4148W,D_SOD-123,164.177456,-45.435299,100,bottom
D20,1N4148W,D_SOD-123,182.386713,-39.000536,100,bottom
D21,1N4148W,D_SOD-123,200.595967,-32.565773,100,bottom
D22,1N4148W,D_SOD-123,219.918739,-32.446091,100,bottom
D23,1N4148W,D_SOD-123,237.656427,-32.478974,100,bottom
D24,1N4148W,D_SOD-123,240.78319,-31.927641,100,bottom
D25,1N4148W,D_SOD-123,167.485456,-64.195886,100,bottom
D26,1N4148W,D_SOD-123,185.694711,-57.761123,100,bottom
D27,1N4148W,D_SOD-123,203.903965,-51.326361,100,bottom
D28,1N4148W,D_SOD-123,223.215884,-51.145128,100,bottom
D29,1N4148W,D_SOD-123,240.964424,-51.239561,100,bottom
D30,1N4148W,D_SOD-123,244.091187,-50.688229,100,bottom
D31,1N4148W,D_SOD-123,170.793454,-82.956474,100,bottom
D32,1N4148W,D_SOD-123,189.002708,-76.521711,100,bottom
D33,1N4148W,D_SOD-123,207.211961,-70.086949,100,bottom
D34,1N4148W,D_SOD-123,226.523884,-69.905716,100,bottom
D35,1N4148W,D_SOD-123,244.272421,-70.000149,100,bottom
D36,1N4148W,D_SOD-123,247.399186,-69.448816,100,bottom
D37,1N4148W,D_SOD-123,152.627599,-107.921465,100,bottom
D38,1N4148W,D_SOD-123,190.930466,-101.167638,100,bottom
D39,1N4148W,D_SOD-123,194.057228,-100.616304,100,bottom
D40,1N4148W,D_SOD-123,81.942772,-100.616304,80,bottom
D41,1N4148W,D_SOD-123,85.069532,-101.167637,80,bottom
D42,1N4148W,D_SOD-123,123.3724,-107.921464,80,bottom
J1,Conn_01x04_MountingPin,MOLEX_781710004_MountingReliefs,119.263517,-51.844985,180,bottom
J2,Conn_01x16,XFCN_F1004-H-16-20G-R_P1.0mm_MountingReliefs,147.341441,-92.889984,-90,bottom
J3,Conn_01x16,XFCN_F1004-H-16-20G-R_P1.0mm_MountingReliefs,128.643018,-92.889985,90,bottom
R1,10k,R_0402_1005Metric,127.9316,-66.523483,80,bottom
SW1,BOOT,SW_SPST_SKQG_WithoutStem,131.883705,-62.47231,90,bottom
SW2,RESET,SW_SPST_SKQG_WithoutStem,131.883705,-72.124309,-90,bottom
U1,XC6206PxxxMR,SOT-23-3,111.612596,-56.682206,80,bottom
U2,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,106.40557,-68.659986,80,bottom
